vehicle_type_encoded,vehicle_km,vehicle_km_log,transport_private,transport_public,transport_walk/bicycle,flight_freq_score,heating_carbon_factor,electronic_hours_total,electronic_hours_weighted,energy_efficiency_score,diet_carbon_factor,grocery_bill,grocery_bill_log,new_clothes_monthly,clothes_consumption_score,shower_freq_score,recycling_types_count,recycles_any,recycles_paper,recycles_plastic,recycles_glass,recycles_metal,weekly_waste_volume,monthly_waste_score,cooking_appliance_count,energy_intensive_appliances,social_activity_score,body_type_normal,body_type_obese,body_type_overweight,body_type_underweight,is_male,is_female,carbon_emission,vehicle_km_type_interaction,diet_grocery_interaction,lifestyle_composite
0,210,5.351858133476067,False,True,False,3,0.8,8,11.5,0.0,2.0,230,5.442417710521793,26,4.0,2,1,1,0,0,0,1,80,320,2,1,3,False,False,True,False,0,1,2238,0,4.6,10.333333333333334
0,9,2.302585092994046,False,False,True,1,0.4,14,18.5,0.0,1.5,114,4.74493212836325,38,4.0,1,1,1,0,0,0,1,90,360,2,0,3,False,True,False,False,0,1,1892,0,1.71,14.0
1,2472,7.813187267521416,True,False,False,0,0.3,20,27.0,0.5,2.5,138,4.9344739331306915,47,4.0,3,1,1,0,0,0,1,5,20,2,1,1,False,False,True,False,1,0,2595,2472,3.45,17.0
0,74,4.31748811353631,False,False,True,1,0.3,27,37.0,0.5,2.5,157,5.062595033026967,5,1.0,4,4,1,1,1,1,1,30,120,3,2,2,False,False,True,False,1,0,1074,0,3.925,3.6666666666666665
2,8457,9.042868018032435,True,False,False,5,0.8,9,10.5,1.0,1.5,266,5.58724865840025,5,1.0,2,1,1,1,0,0,0,20,80,1,1,3,False,True,False,False,0,1,4743,16914,3.99,3.3333333333333335
0,658,6.490723534502507,False,True,False,3,0.3,31,42.0,0.5,1.5,144,4.976733742420574,18,3.0,1,3,1,1,0,1,1,20,80,3,1,2,False,False,True,False,1,0,1647,0,2.16,7.0
3,5363,8.587465244401569,True,False,False,1,0.3,28,32.5,0.5,1.0,56,4.04305126783455,11,3.0,1,0,0,0,0,0,0,40,160,2,2,1,False,False,False,True,0,1,1832,16089,0.56,4.333333333333333
0,54,4.007333185232471,False,False,True,5,0.8,20,22.5,0.0,1.0,59,4.0943445622221,39,4.0,3,3,1,1,1,1,0,90,360,2,0,2,False,False,False,True,0,1,2322,0,0.59,14.666666666666666
0,1376,7.227662498728654,False,True,False,3,0.3,18,19.5,1.0,2.5,200,5.303304908059076,31,4.0,2,1,1,0,0,1,0,30,120,3,2,1,False,False,True,False,1,0,2494,0,5.0,11.333333333333334
0,440,6.089044875446846,False,True,False,1,0.3,26,30.0,0.5,2.0,135,4.912654885736052,23,4.0,2,1,1,0,0,1,0,30,120,3,2,3,False,False,False,True,0,1,1178,0,2.7,9.333333333333334
0,1561,7.3537223303996315,False,True,False,0,0.3,33,39.0,0.0,1.5,146,4.990432586778736,27,4.0,3,2,1,1,1,0,0,120,480,2,0,1,True,False,False,False,0,1,1427,0,2.19,10.333333333333334
0,69,4.248495242049359,False,False,True,5,0.8,13,17.5,0.5,1.5,111,4.718498871295094,4,1.0,3,0,0,0,0,0,0,50,200,3,1,1,False,True,False,False,1,0,3226,0,1.665,2.6666666666666665
0,92,4.532599493153256,False,False,True,1,0.8,22,31.0,1.0,2.5,114,4.74493212836325,27,4.0,4,1,1,0,1,0,0,60,240,1,0,3,False,False,False,True,0,1,1593,0,2.85,11.333333333333334
5,2893,7.970394907191429,True,False,False,1,0.5,23,29.5,0.5,1.0,111,4.718498871295094,16,3.0,1,3,1,0,1,1,1,120,480,5,3,2,False,False,False,True,0,1,1732,14465,1.11,6.333333333333333
0,1989,7.595889917718538,False,True,False,1,0.4,21,27.5,0.0,2.0,123,4.820281565605037,23,4.0,1,3,1,1,1,0,1,30,120,2,1,3,False,True,False,False,1,0,1743,0,2.46,9.0
0,692,6.541029999189903,False,True,False,5,0.5,24,28.5,0.0,1.5,225,5.420534999272286,24,4.0,1,4,1,1,1,1,1,30,120,2,1,1,False,False,True,False,0,1,2101,0,3.375,8.666666666666666
0,7,2.0794415416798357,False,False,True,3,0.5,37,48.5,0.5,2.0,219,5.393627546352362,42,4.0,3,0,0,0,0,0,0,120,480,4,3,3,True,False,False,False,1,0,2609,0,4.38,16.0
0,948,6.855408798609928,False,True,False,1,0.3,23,23.5,1.0,2.0,104,4.653960350157523,6,2.0,2,1,1,1,0,0,0,120,480,3,2,3,False,False,True,False,0,1,1565,0,2.08,3.6666666666666665
1,7622,8.938925271988273,True,False,False,5,0.5,15,18.0,0.5,1.0,126,4.844187086458591,37,4.0,3,0,0,0,0,0,0,20,80,1,0,3,False,False,False,True,1,0,5272,7622,1.26,14.333333333333334
0,51,3.9512437185814275,False,False,True,0,0.3,21,28.5,0.0,2.5,288,5.666426688112432,22,4.0,3,3,1,1,0,1,1,20,80,2,1,3,True,False,False,False,0,1,1220,0,7.2,9.333333333333334
4,2237,7.71333788887187,True,False,False,1,0.5,5,5.0,0.0,1.0,282,5.645446897643238,8,2.0,4,3,1,0,1,1,1,120,480,3,3,3,True,False,False,False,1,0,1300,8948,2.82,5.0
0,1804,7.498315870766981,False,True,False,1,0.3,13,16.0,0.0,2.0,69,4.248495242049359,3,1.0,1,1,1,0,0,0,1,20,80,3,1,1,False,True,False,False,0,1,1024,0,1.38,1.6666666666666667
0,85,4.454347296253507,False,False,True,0,0.3,17,24.0,0.5,2.5,110,4.709530201312334,4,1.0,4,4,1,1,1,1,1,15,60,5,3,2,False,False,True,False,1,0,706,0,2.75,3.3333333333333335
